HPHM,STIME,PATH,FX
hp69,1900/01/01 17:10:00,40044001,左
hp70,1900/01/01 17:01:00,40034006,左
hp71,1900/01/01 17:02:48,40074004,直
hp72,1900/01/01 17:00:14.185303,40084005-40054006-40064003,右-左-左
hp73,1900/01/01 17:01:00,40074008,左
hp74,1900/01/01 17:01:09.961029,40064009,右
hp75,1900/01/01 17:11:42.857148,40014004-40044007,直-直
hp76,1900/01/01 17:04:24,40034002,左
hp77,1900/01/01 17:14:18.062463,40074008-40084005-40054006-40064003-40034002-40024001,左-右-左-左-直-直
hp78,1900/01/01 17:04:00,40094008,左
hp79,1900/01/01 17:05:27.272730,40024001,左
hp80,1900/01/01 17:00:41.092683,40094006-40064005-40054008,左-左-直
hp81,1900/01/01 17:01:00,40074008,左
hp82,1900/01/01 17:11:36,40074004,直
hp83,1900/01/01 17:11:41.193540,40084005,直
hp84,1900/01/01 17:02:38.823529,40094008-40084007,直-左
hp85,1900/01/01 17:11:25,40094008-40084005-40054004-40044001,右-左-右-左
hp86,1900/01/01 17:03:46.153845,40014004-40044007,直-直
hp87,1900/01/01 17:01:39.590723,40094006,左
hp88,1900/01/01 17:11:13.333331,40074008-40084005,左-右
hp89,1900/01/01 17:11:00,40064003,右
hp90,1900/01/01 17:04:00,40074004-40044001,直-左
hp91,1900/01/01 17:01:00,40024005,直
hp92,1900/01/01 17:05:53.076925,40074004-40044001,直-左
hp93,1900/01/01 17:13:06.666670,40084005-40054002,直-左
hp94,1900/01/01 17:09:12,40084009-40094008-40084005-40054002,左-右-直-左
hp95,1900/01/01 17:03:30,40074008-40084009-40094006-40064003,直-左-直-左
hp96,1900/01/01 17:06:04.615385,40014004-40044005-40054008,左-右-直
hp97,1900/01/01 17:02:36,40074008-40084009-40094008,直-左-左
hp98,1900/01/01 17:14:25.790647,40064005-40054008-40084007,左-右-左
hp99,1900/01/01 17:02:27.272727,40074008-40084005,左-左
hp100,1900/01/01 17:01:00,40084005,左
hp101,1900/01/01 17:01:00,40044007,直
hp102,1900/01/01 17:07:00,40024003,右
hp103,1900/01/01 17:01:00,40084009,直
hp104,1900/01/01 17:01:00,40084005,左
hp105,1900/01/01 17:01:00,40084009,左
hp106,1900/01/01 17:01:00,40044001,左
hp107,1900/01/01 17:09:00,40034002,左
hp108,1900/01/01 17:02:28.894737,40064005-40054004-40044007,直-左-直
hp109,1900/01/01 17:02:00,40074008,直
hp110,1900/01/01 17:05:40,40074008-40084009,直-左
hp111,1900/01/01 17:00:38.847926,40074008,直
hp112,1900/01/01 17:01:08.821811,40064009-40094008,右-左
hp113,1900/01/01 17:11:00,40044007,左
hp114,1900/01/01 17:02:00,40044007-40074008,左-直
hp115,1900/01/01 17:02:00,40044005,右
hp116,1900/01/01 17:04:24,40074004-40044001,直-左
hp117,1900/01/01 17:02:00,40064003,左
hp118,1900/01/01 17:07:00,40084007,左
hp119,1900/01/01 17:01:59.635873,40074008-40084005-40054006,左-右-直
hp120,1900/01/01 17:02:00,40044005-40054002,左-左
hp121,1900/01/01 17:02:00,40024005,直
hp122,1900/01/01 17:07:15,40014004-40044007,直-直
hp123,1900/01/01 17:05:52.500000,40084009,直
hp124,1900/01/01 17:00:50.936556,40074008-40084009,直-左
hp125,1900/01/01 17:10:20,40074008,右
hp126,1900/01/01 17:11:30,40074008,右
hp127,1900/01/01 17:06:46.666669,40034002,左
hp128,1900/01/01 17:04:06,40084005-40054004-40044007,左-左-直
hp129,1900/01/01 17:00:46.666667,40034002-40024001,直-直
hp130,1900/01/01 17:12:48.348909,40094006,左
hp131,1900/01/01 17:12:13.333331,40074008,左
hp132,1900/01/01 17:00:54,40084007-40074004-40044001,右-直-左
hp133,1900/01/01 17:07:00,40014004-40044007-40074008-40084009,直-左-直-直
hp134,1900/01/01 17:13:49.411761,40094008-40084007,直-左
hp135,1900/01/01 17:12:35.294117,40074008-40084009,直-直
hp136,1900/01/01 17:00:18,40074008,右
hp137,1900/01/01 17:00:15.882353,40084005-40054002,直-左
hp138,1900/01/01 17:11:26.666669,40034002,左
hp139,1900/01/01 17:06:50.769228,40014004-40044007,直-直
hp140,1900/01/01 17:00:53.380035,40084009,直
hp141,1900/01/01 17:06:20.868874,40064005-40054002-40024005-40054008-40084007,右-左-直-右-左
hp142,1900/01/01 17:03:00,40074004-40044001,直-左
hp143,1900/01/01 17:06:15,40014004-40044007,直-直
hp144,1900/01/01 17:00:13.957704,40074008-40084009,直-直
hp145,1900/01/01 17:11:16.363638,40074008,左
hp146,1900/01/01 17:01:01.992954,40024001-40014002-40024005,左-右-右
hp147,1900/01/01 17:03:30,40064005-40054008-40084007,左-右-左
hp148,1900/01/01 17:05:30,40084009-40094008-40084009,左-左-直
hp149,1900/01/01 17:10:31.764703,40074008,右
hp150,1900/01/01 17:01:42.006842,40074008-40084005-40054002-40024005-40054008-40084009,左-直-左-直-左-直
hp151,1900/01/01 17:10:56.842106,40074008-40084009-40094008,直-左-左
hp152,1900/01/01 17:02:00,40044007-40074008-40084009,左-直-直
hp153,1900/01/01 17:14:13.846158,40024005-40054008,直-直
hp154,1900/01/01 17:03:00,40074008-40084005-40054004-40044001,左-左-右-左
hp155,1900/01/01 17:13:52.836969,40084005-40054002,直-左
hp156,1900/01/01 17:09:16,40074008,右
hp157,1900/01/01 17:02:00,40024003,直
hp158,1900/01/01 17:02:00,40064009,右
hp159,1900/01/01 17:04:16.237425,40094006-40064005-40054008-40084009,左-左-左-左
hp160,1900/01/01 17:02:14.401877,40074008-40084009,直-左
hp161,1900/01/01 17:02:00,40084007,左
hp162,1900/01/01 17:13:42,40094008-40084007-40074004,直-右-右
hp163,1900/01/01 17:04:08.571428,40024003-40034006-40064009,右-直-右
hp164,1900/01/01 17:02:00,40064009,右
hp165,1900/01/01 17:11:22.500000,40094008,左
hp166,1900/01/01 17:08:00,40044001,左
hp167,1900/01/01 17:10:00,40044001,左
hp168,1900/01/01 17:00:00,40034002,左
hp169,1900/01/01 17:00:49.102296,40014002-40024003-40034006-40064005,直-右-右-右
hp170,1900/01/01 17:04:48.351649,40074004-40044005,右-左
hp171,1900/01/01 17:05:53.230769,40074008-40084009-40094006,直-左-左
hp172,1900/01/01 17:03:46.837716,40074004,直
hp173,1900/01/01 17:10:00,40024003,直
hp174,1900/01/01 17:09:05.454545,40094008-40084005-40054002,右-直-左
hp175,1900/01/01 17:07:21.538462,40074008-40084009-40094006,直-左-直
hp176,1900/01/01 17:09:13.846155,40094008-40084007,直-左
hp177,1900/01/01 17:00:00,40034002-40024001,直-直
hp178,1900/01/01 17:00:00,40014004-40044005-40054008,左-右-直
hp179,1900/01/01 17:03:00,40054004,右
hp180,1900/01/01 17:03:00,40094008,左
hp181,1900/01/01 17:01:26.602564,40084009,左
hp182,1900/01/01 17:01:21.818182,40094008-40084007,直-左
hp183,1900/01/01 17:02:57.614186,40014002-40024005,右-右
hp184,1900/01/01 17:01:30,40094008-40084007,直-左
hp185,1900/01/01 17:05:30.109091,40094008-40084007,直-左
hp186,1900/01/01 17:00:00,40024005,直
hp187,1900/01/01 17:00:00,40034006-40064005-40054004-40044007,右-直-左-直
hp188,1900/01/01 17:03:00,40094008,直
hp189,1900/01/01 17:04:00,40044007,直
hp190,1900/01/01 17:07:34.314382,40094008-40084007,直-左
hp191,1900/01/01 17:03:00,40084009,左
hp192,1900/01/01 17:00:00,40024005-40054008-40084007,直-右-左
hp193,1900/01/01 17:00:00,40094006-40064003-40034002,直-左-左
hp194,1900/01/01 17:02:49.154034,40034006-40064009-40094008,直-右-左
hp195,1900/01/01 17:05:28.939828,40074008-40084005-40054002-40024005-40054004-40044001-40014002-40024005-40054006,左-直-左-右-右-右-右-左-左
hp196,1900/01/01 17:04:27.272727,40074008-40084005,左-左
hp197,1900/01/01 17:05:24,40074008,直
hp198,1900/01/01 17:00:00,40094008-40084009,左-直
hp199,1900/01/01 17:04:10.909092,40034002,左
hp200,1900/01/01 17:07:19.090911,40024003,直
hp201,1900/01/01 17:10:27.272730,40034002,左
hp202,1900/01/01 17:02:33.333333,40074008,右
hp203,1900/01/01 17:05:10.570049,40074008-40084009,直-直
hp204,1900/01/01 17:10:41.739132,40024005-40054006-40064009,左-右-左
hp205,1900/01/01 17:08:36,40034002-40024005-40054002,左-左-左
hp206,1900/01/01 17:04:53.333334,40094008-40084007,直-左
hp207,1900/01/01 17:03:14.432328,40074004,直
hp208,1900/01/01 17:06:12,40014004,左
hp209,1900/01/01 17:13:54.545457,40074004-40044001,直-左
hp210,1900/01/01 17:04:00.087273,40094008-40084007,直-左
hp211,1900/01/01 17:12:26.666669,40074004-40044001,直-左
hp212,1900/01/01 17:01:36,40034002-40024001,直-直
hp213,1900/01/01 17:03:00,40054008-40084009,左-直
hp214,1900/01/01 17:11:38.181816,40014004-40044007-40074008,直-左-直
hp215,1900/01/01 17:02:27.272727,40084005-40054006,右-直
hp216,1900/01/01 17:00:00,40044005-40054008-40084009,右-左-直
hp217,1900/01/01 17:03:00,40024001,左
hp218,1900/01/01 17:03:00,40054008,直
hp219,1900/01/01 17:00:00,40014004-40044005-40054006-40064009,左-直-右-右
hp220,1900/01/01 17:03:30.467706,40084009-40094008,左-左
hp221,1900/01/01 17:04:45,40034002-40024001-40014004-40044007,直-左-直-直
hp222,1900/01/01 17:00:00,40074008-40084007,左-左
hp223,1900/01/01 17:04:12,40074008,直
hp224,1900/01/01 17:00:00,40024005,左
hp225,1900/01/01 17:00:00,40034006-40064009,直-左
hp226,1900/01/01 17:00:00,40094006-40064005-40054006-40064009,左-左-右-左
hp227,1900/01/01 17:04:00,40094006,右
hp228,1900/01/01 17:06:40,40014002-40024005,右-右
hp229,1900/01/01 17:02:04.792482,40084005-40054002,直-左
hp230,1900/01/01 17:01:34.285714,40084005-40054004-40044001,左-右-左
hp231,1900/01/01 17:14:00,40014004,直
hp232,1900/01/01 17:03:00,40094006-40064003-40034002,直-左-左
hp233,1900/01/01 17:08:15,40074008,直
hp234,1900/01/01 17:03:00,40054008,直
hp235,1900/01/01 17:13:57.209304,40084009,直
hp236,1900/01/01 17:06:36,40014002-40024005-40054006-40064009-40094006-40064005-40054004-40044007,右-左-右-左-左-直-左-直
hp237,1900/01/01 17:00:00,40094006-40064003-40034006,直-左-左
hp238,1900/01/01 17:00:00,40024005-40054006-40064009,左-右-左
hp239,1900/01/01 17:12:00,40074008,右
hp240,1900/01/01 17:15:00,40034006,左
hp241,1900/01/01 17:12:48,40074004-40044001,直-左
hp242,1900/01/01 17:01:26.911388,40024005-40054008,直-直
hp243,1900/01/01 17:00:00,40094006-40064003-40034002,直-左-左
hp244,1900/01/01 17:07:07.500000,40074004-40044001,直-左
hp245,1900/01/01 17:08:31.213762,40094008-40084005-40054002,右-直-左
hp246,1900/01/01 17:01:39.850442,40074004-40044001-40014002-40024001-40014004-40044007,直-右-左-左-直-直
hp247,1900/01/01 17:04:04.285713,40074008,右
hp248,1900/01/01 17:00:00,40024005-40054008,直-直
hp249,1900/01/01 17:00:00,40024005-40054004-40044007,右-左-直
hp250,1900/01/01 17:02:53.785489,40014004-40044007,直-直
hp251,1900/01/01 17:01:00,40024005-40054008,直-直
hp252,1900/01/01 17:04:00,40044005-40054006-40064009,直-右-左
hp253,1900/01/01 17:06:55.038508,40014002-40024003,直-右
hp254,1900/01/01 17:04:00,40064009,左
hp255,1900/01/01 17:05:21.244102,40074008,右
hp256,1900/01/01 17:07:15,40014004-40044007,直-直
hp257,1900/01/01 17:03:35.805705,40074008,右
hp258,1900/01/01 17:01:00,40064005-40054004,直-右
hp259,1900/01/01 17:01:00,40074004-40044001,直-左
hp260,1900/01/01 17:04:00,40054002,左
hp261,1900/01/01 17:01:00,40044005-40054008-40084007,右-右-左
hp262,1900/01/01 17:02:15.040872,40074008-40084009,直-直
hp263,1900/01/01 17:02:30,40064009-40094008,右-左
hp264,1900/01/01 17:12:00,40084007,左
hp265,1900/01/01 17:15:00,40074008-40084009-40094006-40064009-40094008-40084005-40054002-40024003,直-左-左-右-右-直-右-右
hp266,1900/01/01 17:03:40,40024003-40034006-40064009,右-直-左
hp267,1900/01/01 17:02:12.857143,40064005-40054004-40044007,直-左-直
hp268,1900/01/01 17:04:38.573762,40064005,左
hp269,1900/01/01 17:04:30,40084005-40054002,直-左
hp270,1900/01/01 17:01:00,40074004-40044005-40054006,右-直-直
hp271,1900/01/01 17:14:30,40074004,直
hp272,1900/01/01 17:01:00,40054002-40024001,左-直
hp273,1900/01/01 17:11:00,40014004-40044005-40054008-40084007-40074004-40044005-40054002-40024003-40034002-40024005,左-右-右-右-右-左-右-左-左-右
hp274,1900/01/01 17:10:20,40094006-40064003-40034002,直-左-左
hp275,1900/01/01 17:14:41.858963,40084005-40054002-40024003-40034006-40064005,直-右-右-右-直
hp276,1900/01/01 17:03:34.966353,40024003-40034006-40064005-40054004-40044001-40014002,右-右-直-右-右-右
hp277,1900/01/01 17:10:20,40084007,左
hp278,1900/01/01 17:11:38.181819,40074008,左
hp279,1900/01/01 17:02:38.405081,40084007-40074004-40044001,右-直-左
hp280,1900/01/01 17:02:36.923077,40034002-40024005-40054004-40044007,左-右-左-直
hp281,1900/01/01 17:01:00,40084005-40054002,直-左
hp282,1900/01/01 17:14:00,40044007,直
hp283,1900/01/01 17:04:00,40064003,左
hp284,1900/01/01 17:02:34.381085,40074008-40084009,直-直
hp285,1900/01/01 17:04:00,40094006,直
hp286,1900/01/01 17:13:00,40024001,直
hp287,1900/01/01 17:04:00,40044001,左
hp288,1900/01/01 17:01:00,40094008-40084007,直-左
hp289,1900/01/01 17:01:00,40024005-40054008,直-直
hp290,1900/01/01 17:01:00,40054004-40044007-40074004-40044005,左-左-右-右
hp291,1900/01/01 17:05:25.034258,40084009-40094006-40064003,左-直-左
hp292,1900/01/01 17:08:20.208062,40094008-40084007-40074004,直-右-直
hp293,1900/01/01 17:12:15,40074008-40084009,直-左
hp294,1900/01/01 17:10:30,40014004-40044007,直-左
hp295,1900/01/01 17:10:36,40074008,右
hp296,1900/01/01 17:11:00,40014004-40044007,直-直
hp297,1900/01/01 17:01:00,40074008,右
hp298,1900/01/01 17:15:00,40024005,左
hp299,1900/01/01 17:01:00,40014002,右
hp300,1900/01/01 17:12:23.333335,40024001,直
hp301,1900/01/01 17:09:00,40024001,直
hp302,1900/01/01 17:04:00,40054006,直
hp303,1900/01/01 17:09:00,40034002,左
hp304,1900/01/01 17:01:00,40094006-40064003-40034002,直-左-左
hp305,1900/01/01 17:02:30,40024003-40034006,右-左
hp306,1900/01/01 17:09:48,40094008-40084007,直-左
hp307,1900/01/01 17:02:03,40074004-40044001,直-左
hp308,1900/01/01 17:14:23.076924,40094008-40084007,直-左
hp309,1900/01/01 17:11:00,40074004-40044005-40054006,右-直-直
hp310,1900/01/01 17:05:30,40084005-40054004-40044007,左-左-直
hp311,1900/01/01 17:01:00,40044005-40054008,右-直
hp312,1900/01/01 17:11:00,40014004-40044007-40074008,直-左-直
hp313,1900/01/01 17:01:00,40084005-40054002-40024005-40054008-40084009-40094008-40084007,直-左-直-左-左-直-左
hp314,1900/01/01 17:01:00,40034002-40024001,直-直
hp315,1900/01/01 17:13:18.461540,40074008,右
hp316,1900/01/01 17:12:04.615386,40084007-40074004-40044001,右-直-左
hp317,1900/01/01 17:15:00,40074004-40044001,直-左
hp318,1900/01/01 17:01:00,40064009-40094008-40084007,右-直-左
hp319,1900/01/01 17:01:00,40024005-40054004,右-左
hp320,1900/01/01 17:04:00,40084007,左
hp321,1900/01/01 17:09:30,40064003-40034002,左-左
hp322,1900/01/01 17:08:30,40074008,右
hp323,1900/01/01 17:04:00,40074004,左
hp324,1900/01/01 17:04:00,40094008,直
hp325,1900/01/01 17:10:00,40024001,左
hp326,1900/01/01 17:08:20,40014004-40044007,直-左
hp327,1900/01/01 17:01:00,40084005-40054006-40064005-40054004-40044007,右-左-直-左-直
hp328,1900/01/01 17:01:00,40064009-40094008,右-左
hp329,1900/01/01 17:02:00,40064003-40034002,左-左
hp330,1900/01/01 17:03:20,40064003-40034002,左-左
hp331,1900/01/01 17:12:53.333331,40084005,左
hp332,1900/01/01 17:12:00,40024005,右
hp333,1900/01/01 17:05:00,40094008,直
hp334,1900/01/01 17:05:00,40054008-40084007,右-左
hp335,1900/01/01 17:04:06.622517,40064005,直
hp336,1900/01/01 17:02:00,40024003-40034006-40064009,右-直-左
hp337,1900/01/01 17:08:00,40014004,左
hp338,1900/01/01 17:10:00,40024003,直
hp339,1900/01/01 17:12:00,40034006,左
hp340,1900/01/01 17:06:12,40014004,直
hp341,1900/01/01 17:02:00,40024005,直
hp342,1900/01/01 17:02:00,40064005-40054002,右-左
hp343,1900/01/01 17:05:00,40084009,左
hp344,1900/01/01 17:05:00,40084005,右
hp345,1900/01/01 17:02:00,40034002-40024001,直-直
hp346,1900/01/01 17:02:00,40084009-40094008,左-左
hp347,1900/01/01 17:03:43.636364,40014002-40024003,直-直
hp348,1900/01/01 17:02:00,40084007-40074008,左-右
hp349,1900/01/01 17:02:00,40044005-40054008-40084007,右-右-左
hp350,1900/01/01 17:08:00,40074008,左
hp351,1900/01/01 17:02:00,40034002-40024001,直-左
hp352,1900/01/01 17:07:07.058823,40094008-40084007,直-左
hp353,1900/01/01 17:02:00,40094006-40064009-40094008-40084007,左-右-直-左
hp354,1900/01/01 17:02:00,40064005-40054008-40084007,左-右-左
hp355,1900/01/01 17:05:00,40064003,左
hp356,1900/01/01 17:04:45.709188,40094008-40084005-40054004-40044007,右-左-左-直
hp357,1900/01/01 17:13:52.500000,40094008-40084007-40074004,直-右-直
hp358,1900/01/01 17:02:00,40084009-40094008-40084005-40054002,左-右-直-左
hp359,1900/01/01 17:08:27.715865,40084007-40074004-40044001,右-直-左
hp360,1900/01/01 17:02:00,40014004-40044007,直-直
hp361,1900/01/01 17:12:53.333331,40084009,左
hp362,1900/01/01 17:03:45,40094008-40084007,直-左
hp363,1900/01/01 17:02:00,40084007-40074008,左-右
hp364,1900/01/01 17:03:35,40024005-40054008,直-直
hp365,1900/01/01 17:09:03.690686,40074004-40044007,左-直
hp366,1900/01/01 17:02:00,40084007-40074008-40084009,左-直-直
hp367,1900/01/01 17:10:40,40014004-40044005-40054008-40084007,左-右-右-左
hp368,1900/01/01 17:05:00,40094006-40064003-40034002,直-左-左
hp369,1900/01/01 17:07:45,40034002-40024001,直-左
hp370,1900/01/01 17:12:50,40074008-40084005,左-左
hp371,1900/01/01 17:05:00,40024003,右
hp372,1900/01/01 17:12:53.333331,40074008-40084009,直-左
hp373,1900/01/01 17:08:46.720742,40084009-40094006-40064003-40034002-40024001,左-直-左-直-直
hp374,1900/01/01 17:04:55.384616,40074004-40044001,直-左
hp375,1900/01/01 17:05:00,40034002-40024005-40054008,左-直-直
hp376,1900/01/01 17:05:46.813187,40094008-40084007-40074004-40044001,直-右-直-左
hp377,1900/01/01 17:02:00,40024005,右
hp378,1900/01/01 17:05:00,40014004,直
hp379,1900/01/01 17:08:40,40014002-40024003-40034006-40064003,直-右-左-左
hp380,1900/01/01 17:10:00,40084009,直
hp381,1900/01/01 17:09:51.428570,40074008,直
hp382,1900/01/01 17:10:00,40074004-40044001,直-左
hp383,1900/01/01 17:02:00,40014004-40044007-40074008,直-左-右
hp384,1900/01/01 17:02:00,40014002-40024003,直-直
hp385,1900/01/01 17:02:00,40044007-40074008-40084009,左-直-直
hp386,1900/01/01 17:05:41.250000,40094008-40084005-40054002,右-直-左
hp387,1900/01/01 17:13:36,40014002-40024005-40054008-40084007,右-直-右-左
hp388,1900/01/01 17:02:00,40024003-40034006-40064009,右-直-左
hp389,1900/01/01 17:10:26.666669,40064005,右
hp390,1900/01/01 17:05:00,40094008,左
hp391,1900/01/01 17:08:52.800000,40014002,右
hp392,1900/01/01 17:14:02.400000,40024001,直
hp393,1900/01/01 17:13:40,40024005-40054008-40084009-40094008-40084007,直-左-左-直-左
hp394,1900/01/01 17:02:55.240084,40014002-40024003-40034006-40064005,直-右-右-直
hp395,1900/01/01 17:13:52.258064,40084005-40054004-40044007-40074008-40084009,左-左-左-直-直
hp396,1900/01/01 17:10:44.219571,40094008-40084007,直-左
hp397,1900/01/01 17:09:25.714284,40074008-40084009-40094006,直-左-直
hp398,1900/01/01 17:03:00,40094006-40064003,直-右
hp399,1900/01/01 17:07:32.042801,40034002-40024001,直-直
hp400,1900/01/01 17:05:00,40094008,左
hp401,1900/01/01 17:07:37.831062,40074008-40084009,直-左
hp402,1900/01/01 17:02:00,40074008-40084005-40054002,左-直-左
hp403,1900/01/01 17:02:00,40084009-40094006-40064003-40034002,左-直-左-直
hp404,1900/01/01 17:13:00,40084009,直
hp405,1900/01/01 17:12:53.333331,40014004-40044007,直-左
hp406,1900/01/01 17:05:25.142857,40034002-40024005,左-左
hp407,1900/01/01 17:12:20,40094008-40084007-40074004-40044001,直-右-直-左
hp408,1900/01/01 17:02:00,40084005-40054004-40044001,左-右-左
hp409,1900/01/01 17:14:00,40074004-40044001,直-左
hp410,1900/01/01 17:10:31.764705,40014002-40024005-40054008,右-直-直
hp411,1900/01/01 17:02:00,40024005-40054008-40084009,直-左-直
hp412,1900/01/01 17:03:00,40014004,直
hp413,1900/01/01 17:07:48,40014004,左
hp414,1900/01/01 17:03:00,40024005-40054004-40044007,右-左-直
hp415,1900/01/01 17:04:53.630229,40074008,右
hp416,1900/01/01 17:10:00,40024003,直
hp417,1900/01/01 17:03:00,40024005,左
hp418,1900/01/01 17:09:40,40014004,直
hp419,1900/01/01 17:09:22.594937,40094008-40084007,直-左
hp420,1900/01/01 17:03:00,40014002-40024005-40054008-40084009,右-直-左-直
hp421,1900/01/01 17:03:00,40054004-40044001-40014002-40024003,右-右-直-右
hp422,1900/01/01 17:06:00,40024001,左
hp423,1900/01/01 17:06:00,40064009,右
hp424,1900/01/01 17:08:18.973617,40014002,右
hp425,1900/01/01 17:06:29.051919,40084009,左
hp426,1900/01/01 17:04:04.885993,40084005-40054002-40024005,直-左-左
hp427,1900/01/01 17:06:00,40034002,左
hp428,1900/01/01 17:13:09.230772,40074008,右
hp429,1900/01/01 17:03:00,40074004-40044005-40054006,右-直-直
hp430,1900/01/01 17:06:42.857142,40074008-40084009,直-直
hp431,1900/01/01 17:03:00,40064005-40054004-40044007,直-左-左
hp432,1900/01/01 17:05:00,40094008,左
hp433,1900/01/01 17:05:37.647624,40074008,右
hp434,1900/01/01 17:15:00,40024001,直
hp435,1900/01/01 17:04:37.500000,40014004-40044005-40054006,左-直-直
hp436,1900/01/01 17:03:00,40084005,直
hp437,1900/01/01 17:09:00,40014002-40024005,右-右
hp438,1900/01/01 17:06:00,40044001,左
hp439,1900/01/01 17:14:12,40074008-40084009,直-直
hp440,1900/01/01 17:03:00,40094006-40064003,直-右
hp441,1900/01/01 17:05:40.506706,40034002-40024001-40014004-40044007,直-左-直-直
hp442,1900/01/01 17:03:00,40014002-40024005-40054008,右-直-直
hp443,1900/01/01 17:07:34.285714,40094008-40084007,直-左
hp444,1900/01/01 17:03:00,40044005-40054002,左-左
hp445,1900/01/01 17:14:27.272724,40014004,左
hp446,1900/01/01 17:11:33.333331,40024005,右
hp447,1900/01/01 17:11:15,40024003-40034006,右-左
hp448,1900/01/01 17:06:00,40074004,直
hp449,1900/01/01 17:03:00,40044005-40054008-40084009,右-左-直
hp450,1900/01/01 17:13:00,40074008,右
hp451,1900/01/01 17:09:00,40044001,左
hp452,1900/01/01 17:07:37.815401,40094008-40084005-40054004,右-左-左
hp453,1900/01/01 17:09:55.038508,40014002-40024003,直-右
hp454,1900/01/01 17:10:44.586373,40094006-40064003-40034002-40024001,直-左-直-直
hp455,1900/01/01 17:04:56.004592,40074008,右
hp456,1900/01/01 17:06:00,40034006,左
hp457,1900/01/01 17:11:34.285715,40024005,左
